id;Categoria-1;Categoria-2;Categoria-3;Categoria-4;Categoria-5;Categoria-6;Categoria-7;Categoria-8;Categoria-9;Categoria-10;Categoria-11;Categoria-12;Categoria-13;Categoria-14;Categoria-15;Categoria-16;Categoria-17;Categoria-18;Categoria-19;Categoria-20;Categoria-21;Categoria-22;Categoria-23;Categoria-24;Categoria-25;Categoria-26;Categoria-27;Categoria-28;Categoria-29;Categoria-30;Categoria-31;Categoria-32;Categoria-33;Categoria-34;Categoria-35;Categoria-36;Nota Língua;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
6535;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;Celebrações - 1880 - Edições | 468;Celebrações - 1880 - Traduções | 476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;775708;https://purl.pt/45006;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d4/bc/dc/32/d4bcdc32-c146-4bad-a773-2dfed13c99bc/iiif/cam-1430-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Affronta e desaffronta;considerações e reflexões ao desabafo patriotico do... Dr. Francisco Ferraz de Macedo;;1.ª ed.;Lisboa : Editora de Mattos Moreira & C;1881;1881;127 p.;Alberto António de Morais Carvalho, 1852-1933;;;;;;CAM. 687//3 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/775708;Livre
6536;Tradução - Impressos - Antologia - Lírica - Paratextos gerais | 209;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Celebrações - 1880 - Traduções | 476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;258477;https://purl.pt/44313;https://bndigital.bnportugal.gov.pt//i/?IIIF=/a4/b7/ce/b3/a4b7ceb3-bc54-4b5a-b635-9a5e1a659158/iiif/cam-180-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;;;"Nova edição contendo: Advertencia e Vida de Luiz de Camões, por A. R. da Cruz Coutinho; Elogio de Luiz de Camões, por F. Dias Gomes; Juizo ácerca dos Lusiadas, por Barreto Feio; Noticia da viagem de Vasco da Gama á India; Index explicativo de algumas palavras empregadas no poema; e um Diccionario dos nomes proprios que se contéem nos Lusiadas";Porto : em Casa de A. R. da Cruz Coutinho;1881;1881;CXI, 1 br., 480 p.;Luís de Camões, 1524-1580;;;"A. R. da Cruz Coutinho, 1815-1885, Editor comercial ; Francisco Dias Dias, 1745-1795, Editor literário ; José Vitorino Barreto Feio, 1782-1850, Editor literário ; João Franco Barreto, 1600-post. 1674, Editor literário";;Tipografia do Jornal do Porto, Impressor;CAM. 180 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/258477;Livre
6537;Vida - Ficção - Narrativa | 15;Recepção criativa - Tematização | 409;Celebrações - 1880 - Vida | 470;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252303;https://purl.pt/44282;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d0/dd/45/79/d0dd4579-ee23-44db-963a-7d1cd10ff29f/iiif/cam-187-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;;;Edição revista e prefaciada por Theophilo Braga e illustrada com os retratos de Luiz de Camões e Vasco da Gama;Lisboa : Pereira & Amorim;1881;1881;"2 t. em 1 vol. 155, 1 br., 1, 1 br.; 140, 3, 1 br. p.";Luís de Camões, 1524-1580;;;Teófilo Braga, 1843-1924, Autor da introdução, etc.;;Pereira & Amorim, Impressor;CAM. 187 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/252303;Livre
6538;Celebrações - 1880 - Periódicos | 471;Figuras Femininas - Autoras (produção escrita sobre Camões) | 552;Figuras Femininas - Leitoras (em torno de Camões) | 553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;849973;https://purl.pt/45102;https://bndigital.bnportugal.gov.pt//i/?IIIF=/59/25/a4/c8/5925a4c8-aef1-46c3-8561-d778aa3b9e14/iiif/cam-1898-v_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Programa dos festejos academicos para a inauguração do monumento a Luiz de Camões;;;1.ª ed.;Coimbra : Impr. da Universidade;1881;1881;23, 4 p.;;;;;;;L. 11931//11 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/849973;Livre
6539;Bibliografia crítica - Estudo | 418;Celebrações - 1880 - Textos críticos | 469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;258571;https://purl.pt/44279;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c2/50/f7/9c/c250f79c-12a9-495e-b689-b5f8671ac7fc/iiif/cam-190-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;;;Brinde dos Estudantes de Coimbra á Infancia das Escolas da mesma cidade;Coimbra : Imprensa Academica;1881;1881;384 p.;Luís de Camões, 1524-1580;;;;;Tipografia da Universidade, Impressor;CAM. 190 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/258571;Livre
6540;Recepção criativa - Tematização | 409;Vida - Biografia | 13;Bibliografia crítica - Estudo | 418;Celebrações - 1880 - Vida | 470;Celebrações - 1880 - Textos críticos | 469;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1073971;https://purl.pt/45111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/f1/6c/41/cd/f16c41cd-06be-41c9-bc59-f97d55ab45ba/iiif/cam-1924-v_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Italiano;;Lepopea nazionale e il Camoens;;;1.ª ed.;Modena : Coi Tipi della Società Tipografica;1881;1881;22 p.;Luigi Rossi, 1826-1906;;;;;;CAM. 1924 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1073971;Livre
6541;Vida - Biografia | 13;Celebrações - 1880 - Vida | 470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1725322;https://purl.pt/45106;https://bndigital.bnportugal.gov.pt//i/?IIIF=/07/b2/5b/52/07b25b52-8603-4206-a544-1feec67ba50c/iiif/cam-2032-v_0003.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Homenagem do Mesquita a Camões;;;2ª edição;Porto : Imprensa Civilisação - Santos & Lemos;1881;1881;14 p.;António Joaquim de Mesquita e Melo, 1789-?;;;;;;CAM. 2032 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1725322;Livre
6542;Recepção criativa - Tematização | 409;Celebrações - 1880 - Recepção criativa - Tematização | 474;Vida - Ficção - Drama | 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1730024;https://purl.pt/43988;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c4/e9/69/53/c4e96953-943d-4a98-9758-95be605e2837/iiif/cam-2043-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Um soneto de Camões em Quevedo Y Villegas imitado com anteloquio do professor Bracarense Pereira Caldas decano do lyceu;;;1.ª ed.;Braga : Typographia de Gouvea;1881;1881;6, 8 p.;José Joaquim da Silva Pereira Caldas, 1818-1903;;Francisco de Quevedo, 1580-1645, Autor;Luís de Camões, 1524-1580, Antecedente bibliográfico;;;CAM. 2043 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1730024;Livre
6543;Obra - Impressos - Composições soltas e fragmentos - Épica - Episódio | 67;Celebrações - 1880 - Edições | 468;Celebrações - 1880 - Iconografia | 478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1056188;https://purl.pt/44109;https://bndigital.bnportugal.gov.pt//i/?IIIF=/20/55/ba/44/2055ba44-008e-4398-9440-d636997182ba/iiif/cam-243-2-a_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Junta Geral do Districto de Ponta Delgada;Sessões do anno de 1880;;1.ª ed.;Ponta Delgada : Typographia Imparcial;1881;1881;87, 1 br. p.;;Portugal. Junta Geral do Distrito Autónomo de Ponta Delgada;;;;Tipografia Imparcial, Impressor;CAM. 243//2 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1056188;Livre
6544;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Argumentos | 105;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Notas | 106;Celebrações - 1880 - Edições | 468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1056197;https://purl.pt/44011;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e7/77/b5/89/e777b589-255a-40f7-862e-858c2428ff01/iiif/cam-243-4-a_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Relatorio da Associação Commercial do Rio de Janeiro do anno de 1880;;;1.ª ed.;Rio de Janeiro : Typographia Montenegro;1881;1881;24, 14, 21, 1 br., 4, 2, 2, 3, 1 br., 2, 2, 2, 46 p., 29 desdobr.;;Associação Comercial do Rio de Janeiro;;;;Tipografia Montenegro, Impressor;CAM. 243//4 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1056197;Livre
6545;Vida - Biografia | 13;Celebrações - 1880 - Vida | 470;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Figuras históricas | 390;Bibliografias e catálogos - Bibliografia | 550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;865408;https://purl.pt/44385;https://bndigital.bnportugal.gov.pt//i/?IIIF=/58/16/9f/5e/58169f5e-f026-41c6-a4ee-9c3f0b342212/iiif/cam-289-8-v_0003.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Luis de Camões;elogio academico, lido na... Universidade de Coimbra;;1.ª ed.;Porto : Typ. Occidental;1881;1881;;Luís Maria da Silva Soares, ca 18--;;;;;;CAM. 289//8 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/865408;Livre
6546;Vida - Ficção - Poesia | 16;Recepção criativa - Tematização | 409;Celebrações - 1880 - Vida | 470;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322278;https://purl.pt/43946;https://bndigital.bnportugal.gov.pt//i/?IIIF=/ce/8e/4b/e3/ce8e4be3-201a-4e56-80ee-2c3e479bf165/iiif/cam-314-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Tu só, tu, puro amor...;comedia;;1.ª ed.;Rio de Janeiro : s.n.;1881;1881;VII, 71, 1 p.;Machado de Assis, 1839-1908;;;;;;CAM. 314 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/322278;Livre
6547;Música - Impressos | 405;Celebrações - 1880 - Música | 479;Recepção criativa - Tematização | 409;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329092;https://purl.pt/44467;https://bndigital.bnportugal.gov.pt//i/?IIIF=/ed/99/af/11/ed99af11-66af-4903-b29f-f0afacf7d6ce/iiif/cam-382-2-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Camões em Coimbra;poema realista;;1.ª ed.;Coimbra : s. n.;1881;1881;"15 p. ;20 cm"; ˜Um œAcadémico;;;;;;L. 36372//7 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/329092;Livre
6548;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Estrofes rejeitadas - Paratextos gerais | 255;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;Figuras Femininas - Autoras (produção escrita sobre Camões) | 552;Celebrações - 1880 - Traduções | 476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Os Lusíadas = ˜The œLusiades / Rectificar título, depois de abrir o purl. ;329593;https://purl.pt/44466;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d4/1f/02/7b/d41f027b-0cae-4330-8c6b-12e490258738/iiif/cam-382-5-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;A voz da consciencia;homenagem a Camões;;1.ª ed.;Porto : Typ. de A. J. da Silva;1881;1881;15, 1 p.;Ernesto Pires, 1857-1884;;;;;;CAM. 382//5 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/329593;Livre
6549;Celebrações - 1880 - Periódicos | 471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;454231;https://purl.pt/44470;https://bndigital.bnportugal.gov.pt//i/?IIIF=/cf/f6/db/c4/cff6dbc4-b590-402d-b561-0b50ebd4eccf/iiif/cam-387-2-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Estatutos;;;1.ª ed.;Lisboa : Typ. Nova Minerva;1881;1881;38 p.;;Ateneu Comercial de Lisboa;;;;;CAM. 387//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/454231;Livre
6550;Obra - Impressos - Obras (avulsas) - Lírica - Soneto | 35;Obra - Impressos - Obras (avulsas) - Lírica - Canção | 25;Obra - Impressos - Obras (avulsas) - Lírica - Sextina | 34;Obra - Impressos - Obras (avulsas) - Lírica - Ode | 32;Obra - Impressos - Obras (avulsas) - Lírica - Oitavas | 33;Obra - Impressos - Obras (avulsas) - Lírica - Elegia | 28;Obra - Impressos - Obras (avulsas) - Lírica - Écloga | 27;Obra - Impressos - Obras (avulsas) - Lírica - Mote | 31;Obra - Impressos - Paratextos - Obras (avulsas) - Lírica | 107;Celebrações - 1880 - Edições | 468;Obra - Impressos - Obras (avulsas) - Lírica - Fábula de Narciso | 38;Obra - Impressos - Obras (avulsas) - Lírica - Martírio de Santa Úrsula | 40;Obra - Impressos - Obras (avulsas) - Lírica - Redondilhas | 36;;;;;;;;;;;;;;;;;;;;;;;;;454251;https://purl.pt/44484;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e1/21/7e/9b/e1217e9b-67b0-441e-ac6a-72339cb90315/iiif/cam-387-7-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Memória y cuentas;referentes al año de 1880;;1.ª ed.;Lisboa : Lallemant Fréres;1881;1881;36 p.;;Asociacion Española en Lisboa La Fraternidad;;;;;CAM. 387//7 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/454251;Livre
6551;Celebrações - 1880 - Discussão, programas e relatórios | 481;Celebrações - 1860 - Discussão, programas e relatórios | 449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;454252;https://purl.pt/44483;https://bndigital.bnportugal.gov.pt//i/?IIIF=/72/8d/cb/0f/728dcb0f-5d6e-426b-8aba-4348cfaaa749/iiif/cam-387-8-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Relatorio e contas da gerencia da Commissão de Beneficencia da Freguezia de Santa Justa e Rufina no anno de 1880;;;1.ª ed.;Lisboa : Typ. da Casa de Inglaterra;1881;1881;8 p;;Comissão de Beneficência da Freguesia de Santa Justa e Rufina;;;;;CAM. 387//8 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/454252;Livre
6552;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;367270;https://purl.pt/44550;https://bndigital.bnportugal.gov.pt//i/?IIIF=/88/9c/ac/3b/889cac3b-c6d6-4de2-92e6-afd4cd68d1a0/iiif/cam-444-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Italiano;;Dom Luis de Camoens;profilo critico-biografico;;1.ª ed.;Firenze : coi Tipi M. Cellini E.C.;1881;1881;36 p.;Carlo Catanzaro, 1852-?;;;;;;CAM. 153//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/367270;Livre
6553;Recepção criativa - Centão [Cintra] | 408;Celebrações - 1880 - Recepção criativa - Centão | 475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;260046;https://purl.pt/17180;https://bndigital.bnportugal.gov.pt//i/?IIIF=/9b/52/ee/80/9b52ee80-f985-4970-b1fe-d509add36110/iiif/l-81022-p_0000_capa-lomb_t24-C-R0150_000007.tif/full/!300,500/0/default.jpg;Livro impresso;Inglês;Português;Seventy sonnets of Camoens;;;1.ª ed.;London : C. Kegan Paul & Co.;1881;1881;XXIII, 1, 253, 3 p.;Luís de Camões, 1524-1580;;;"John James Aubertin, ca 1878, Nome associado ; Alfredo David, 1863-1930, Encadernador ; António Alberto Marinho Duarte de Sousa, 1896-1950, Antigo possuidor";;;L. 81022 P.;PCulture;http://id.bnportugal.gov.pt/bib/catbnp/260046;Livre
6554;Tradução - Impressos - Obras (conjunto) - Lírica | 182;Tradução - Impressos - Obras (conjunto) - Cartas | 192;Tradução - Impressos - Obras (conjunto) - Épica | 177;Tradução - Impressos - Obras (conjunto) - Teatro | 187;Celebrações - 1880 - Traduções | 476;Tradução - Impressos - Obras (conjunto) - Épica - Paratextos gerais | 178;Tradução - Impressos - Obras (conjunto) - Épica - Paratextos notas | 181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;374705;https://purl.pt/44625;https://bndigital.bnportugal.gov.pt//i/?IIIF=/64/39/0c/74/64390c74-d848-4a43-b57f-8fca3accc476/iiif/cam-538-9-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Festas camonianas em Coimbra;ao génio;;1.ª ed.;Coimbra : Imprensa Literária;1881;1881;15 p.;Manuel da Silva Gaio, 1860-1934;;;;;;L. 25872//5 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/374705;Livre
6555;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Celebrações - 1880 - Edições | 468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;454223;https://purl.pt/29351;https://bndigital.bnportugal.gov.pt//i/?IIIF=/75/fd/7e/3e/75fd7e3e-4e12-4f5c-ab28-6e0578d382e5/iiif/454223_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;"Português ; Espanhol";;Seis estrophes do episodio do Adamastor, extrahido dos Lusiadas de Camões com a versão hispanhola de D. Patricio de la Escosura inedita ainda: antecedidas de um preambulo do Prof... Pereira Caldas;;;1.ª ed.;Braga : Typographia Lealdade;1881;1881;33 p.;Luís de Camões, 1524-1580;;;"Patricio de la Escosura, Tradutor ; José Joaquim da Silva Pereira Caldas, 1818-1903, Autor da introdução, etc.";;;CAM. 386//7 V.;;http://id.bnportugal.gov.pt/bib/catbnp/454223;Livre
6556;Recepção criativa - Tematização | 409;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;458654;https://purl.pt/44659;https://bndigital.bnportugal.gov.pt//i/?IIIF=/87/e1/da/c8/87e1dac8-1255-4f1e-bd16-9d6917bd3aaa/iiif/cam-544-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Imitação, parodia e centonisação de dez estophes dos Lusiadas de Camões em 1628;;;1.ª ed.;Braga : Tip. de Gouveia;1881;1881;57, IV p.;Cristóvão Osório, 1574-1630;;;José Joaquim da Silva Pereira Caldas, 1818-1903, Autor da introdução, etc.;;;CAM. 544 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/458654;Livre
6557;Vida - Ficção - Narrativa | 15;Obra - Impressos - Paratextos - Obras (avulsas) - Outros | 119;Celebrações - 1880 - Vida | 470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;completar subtítulo: notas biográficas;789259;https://purl.pt/44817;https://bndigital.bnportugal.gov.pt//i/?IIIF=/18/7f/ff/72/187fff72-4768-4918-b3f1-0988575e316b/iiif/cam-864-p_0009.tif/full/!300,500/0/default.jpg;Livro impresso;Francês;;Notice sur Luiz de Camoens;;;1.ª ed.;Louvain : Charles Fonteyn;1881;1881;92 p.;Ferdinand de Trocz;;;;;;CAM. 864 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/789259;Livre
6558;Celebrações - 1880 - Actos públicos | 477;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Imagens de Camões | 373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;458662;https://purl.pt/44661;https://bndigital.bnportugal.gov.pt//i/?IIIF=/85/3e/50/18/853e5018-0bae-46f2-bdc5-c368509bdcf8/iiif/cam-554-v_0003.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Amica veritas;versos no terceiro centenário de Camões;;Terceira edição com uma carta do Sr. Camillo Castello-Branco e o juizo da imprensa...;Porto : J. E. Cruz Coutinho;1881;1881;19, 2 p.;Diogo Souto, ?-1901;;;Camilo Castelo Branco, 1825-1890, Autor da introdução, etc.;;;L. 66081 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/458662;Livre
6559;Obra - Impressos - Antologias - Lírica | 91;Celebrações - 1880 - Edições | 468;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Imagens de Camões | 373;Figuras Femininas - Autoras (produção escrita sobre Camões) | 552;Obra - Impressos - Obras (avulsas) - Lírica - Cantiga | 26;Obra - Impressos - Obras (avulsas) - Lírica - Soneto | 35;Obra - Impressos - Obras (avulsas) - Lírica - Canção | 25;Obra - Impressos - Obras (avulsas) - Lírica - Ode | 32;Obra - Impressos - Obras (avulsas) - Lírica - Elegia | 28;Obra - Impressos - Obras (avulsas) - Lírica - Écloga | 27;Obra - Impressos - Obras (avulsas) - Lírica - Endechas | 29;Obra - Impressos - Obras (avulsas) - Lírica - Mote | 31;;;;;;;;;;;;;;;;;;;;;;;;;459269;https://purl.pt/44673;https://bndigital.bnportugal.gov.pt//i/?IIIF=/f8/f6/e7/3b/f8f6e73b-3209-4c00-b136-9028b57761b9/iiif/cam-601-v_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Estancias e lições desprezadas e omittidas por Camões na primeira impressão do seu poema;extraídas da edição dos Lusíadas publicada em 1800 por Joaquim Ignacio de Freitas,...;;1.ª ed.;Coimbra : Casa Minerva;1881;1881;51, 2 p.;Luís de Camões, 1524-1580;;;Joaquim Inácio de Freitas, ?-1831, Antecedente bibliográfico;;;CAM. 601 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/459269;Livre
6560;Recepção criativa - Tematização | 409;Recepção criativa - Centão [Cintra] | 408;Celebrações - 1880 - Recepção criativa - Tematização | 474;Celebrações - 1880 - Recepção criativa - Centão | 475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;465130;https://purl.pt/44701;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e3/4b/c2/d7/e34bc2d7-e8ea-4d00-a4ae-af320a5ff71f/iiif/cam-623-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Homenagens a Camões em artigos jornalísticos em Braga, no tricentenário do poeta 10 de Junho 1880;;;1.ª ed.;Braga : Typ. Lusitana;1881;1881;16 p.;José Joaquim da Silva Pereira Caldas, 1818-1903;;;;;;CAM. 623 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/465130;Livre
6561;Recepção criativa - Tematização | 409;Vida - Ficção - Poesia | 16;Celebrações - 1880 - Vida | 470;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329663;https://purl.pt/37884;https://bndigital.bnportugal.gov.pt//i/?IIIF=/3c/21/0b/d4/3c210bd4-ee33-40df-8783-98f3b4be2743/iiif/cam-385-3-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Glosa da estrophe, estavas linda Ignez posta em socego, de Camões;;;1.ª ed.;Évora : Typ. Minerva de A. F. Barata;1881;1881;14 p.;António Francisco Barata, 1836-1910;;;;;;CAM. 385//3 P.;;http://id.bnportugal.gov.pt/bib/catbnp/329663;Livre
6562;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Celebrações - 1880 - Edições | 468;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Ilustrações da obra | 376;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;418131;https://purl.pt/37397;https://bndigital.bnportugal.gov.pt//i/?IIIF=/91/6e/8c/2f/916e8c2f-ead7-4ecf-aef6-abab48f45334/iiif/cam-285-2-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O tricentenário de Camões em Portugal;;;1.ª ed.;Coimbra : Imprensa Académica;1881;1881;28, 1 br., 1 p.;Rosalino Cândido de Sampaio e Brito;;;;;;H.G. 19554//5 V.;;http://id.bnportugal.gov.pt/bib/catbnp/418131;Livre
6563;Tradução - Impressos - Composições soltas e fragmentos - Épica | 229;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos gerais | 230;Celebrações - 1880 - Traduções | 476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475377;https://purl.pt/34060;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c3/cb/56/18/c3cb5618-9d2b-458f-b9e9-2cd2bcabeb03/iiif/cam-653-2-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Homenagem a Luiz de Camões;;;1.ª ed.;Coimbra : Associação Liberal;1881;1881;1 f.;Luís de Camões, 1524-1580;;;;;Associação Liberal de Coimbra, Editor comercial;CAM. 653//2 V.;;http://id.bnportugal.gov.pt/bib/catbnp/475377;Livre
6564;Celebrações - 1880 - Periódicos | 471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475379;https://purl.pt/34061;https://bndigital.bnportugal.gov.pt//i/?IIIF=/2e/21/61/3f/2e21613f-8bda-4561-b94d-ca8917b5eb9a/iiif/cam-653-3-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Camões;soneto;;1.ª ed.;Coimbra : Imp. da Universidade;1881;1881;1 f.;Baptista Coimbra, ca 18--;;;;;;CAM. 653//3 V.;;http://id.bnportugal.gov.pt/bib/catbnp/475379;Livre
6565;Obra - Impressos - Antologias - Épica | 88;Obra - Impressos - Obras (avulsas) - Lírica - Soneto | 35;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Figuras históricas | 390;Celebrações - 1880 - Edições | 468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475467;https://purl.pt/26367;https://bndigital.bnportugal.gov.pt//i/?IIIF=/8e/b9/68/96/8eb96896-2c5c-4ab4-856b-0610f50b0c15/iiif/475467_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Alma minha!;melodia para piano e canto;;1.ª ed.;Lisboa : Imp. Nacional;1881;1881;2 f.;Amélia Augusta de Azevedo, 1840-1913;;Luís de Camões, 1524-1580;;;;CAM. 84//3 A.;;http://id.bnportugal.gov.pt/bib/catbnp/475467;Livre
